trait,mean,mean_std,MAE,MAE_std,MSE,MSE_std,RMSE,RMSE_std,MAPE,MAPE_std,N,N_notmatched
gt_int_length,-0.005505201816046224,0.015137732389815492,0.010010627274945082,0.01261925237497029,0.0002594581889410677,0.0007093195277180849,0.016107705886968127,,14.81101423110255,16.28066585185986,49,0
gt_ph_angle,-14.799144190695815,66.14253587455927,45.25749460907167,50.454027613305726,4593.849720694367,8247.205071676177,67.77794420528234,,22.885794881293048,25.455474821590172,37,0
gt_br_angle,14.018721662801104,21.57784830793329,17.43534868076811,18.92450028506185,662.1280946592684,2142.8659377892895,25.731849810288967,,35.78576519571128,56.97549870570574,35,0
