metric,node_order,node_order_0,node_order_1,node_order_2,node_order_3
TP,909.0,115,370,406,18
FP,1623.0,0,0,0,0
FN,246.0,9,115,98,24
Precision,0.3590047393364929,1.0,1.0,1.0,1.0
Recall,0.787012987012987,0.9274193548387096,0.7628865979381443,0.8055555555555556,0.42857142857142855
CD,0.019461769315651894,,,,
