file_name,TP,FP,FN,Precision,Recall,CD,TP_0,FP_0,FN_0,TP_1,FP_1,FN_1,TP_2,FP_2,FN_2,TP_3,FP_3,FN_3,TP_edges,FP_edges,FN_edges,Precision_edges,Recall_edges,gt_int_length_MAE,gt_int_length_MSE,gt_int_length_RMSE,gt_int_length_MAPE,gt_ph_angle_MAE,gt_ph_angle_MSE,gt_ph_angle_RMSE,gt_ph_angle_MAPE,gt_br_angle_MAE,gt_br_angle_MSE,gt_br_angle_RMSE,gt_br_angle_MAPE
Harvest_01_PotNr_80,64,87,18,0.423841059602649,0.7804878048780488,0.01956845594568986,6,0,1,24,0,7,31,0,7,3,0,3,55,95,26,0.36666666666666664,0.6790123456790124,0.003090514589578939,1.0117935670477719e-05,0.003180870269356756,6.183803886379138,68.80166617705923,7930.808179195388,89.05508508330891,31.382462356007764,13.090334221907105,226.2940213193634,15.043072203488336,20.99749077559309
Harvest_01_PotNr_95,60,99,15,0.37735849056603776,0.8,0.01354961211793866,7,0,0,25,0,9,28,0,5,0,0,1,42,116,32,0.26582278481012656,0.5675675675675675,0.0066871985198565876,8.179715143908029e-05,0.009044177764677135,9.154681014238271,64.88269501353406,7711.108588448743,87.81291811828567,30.470837326838744,32.25844310661784,2451.1569072805355,49.509159832101126,86.29307642912886
Harvest_01_PotNr_145,72,117,12,0.38095238095238093,0.8571428571428571,0.014536578541473402,8,0,1,27,0,5,34,0,4,3,0,2,62,126,21,0.32978723404255317,0.7469879518072289,0.01869649047651651,0.00044828044878108403,0.021172634431763187,24.03509881637711,18.722077429238777,594.0275972545206,24.372681371866342,8.166338080281017,17.70504412754543,373.0500863049177,19.3145045575836,31.990688570813397
Harvest_01_PotNr_179,66,105,9,0.38596491228070173,0.88,0.013765754637952748,10,0,0,28,0,4,28,0,5,0,0,0,60,110,14,0.35294117647058826,0.8108108108108109,,,,,,,,,,,,
Harvest_01_PotNr_256,63,160,13,0.2825112107623318,0.8289473684210527,0.019592591138887856,11,0,0,27,0,8,25,0,5,0,0,0,51,171,24,0.22972972972972974,0.68,0.005247460923025555,4.083759070113573e-05,0.0063904296178845235,12.820659794962957,20.766476330397758,888.1013671360746,29.801029632146513,11.732584348077541,11.295736462525493,191.2105020737719,13.827888561663054,18.30342350311149
Harvest_01_PotNr_293,65,130,12,0.3333333333333333,0.8441558441558441,0.01676480917049501,6,0,1,30,0,6,29,0,5,0,0,0,57,137,19,0.29381443298969073,0.75,0.008487698157196613,7.34229730337591e-05,0.008568720618257962,10.782107274649894,55.25428860061504,6766.2943373776025,82.25748803226125,24.03673911305101,10.539969168632531,176.99443228741484,13.303925446552038,18.386704931901516
Harvest_01_PotNr_373,81,108,22,0.42857142857142855,0.7864077669902912,0.01220372057700084,8,0,0,34,0,6,36,0,10,3,0,6,69,119,33,0.3670212765957447,0.6764705882352942,0.0244149818548463,0.0009330413608391704,0.03054572573764078,33.61375821938095,65.50224878128276,5586.099712324531,74.74021482658804,45.210929019293225,20.542922674445983,567.8462221092577,23.82952416875456,44.13563562943559
Harvest_01_PotNr_429,60,115,6,0.34285714285714286,0.9090909090909091,0.012085797821332093,7,0,1,24,0,3,29,0,1,0,0,1,52,122,13,0.2988505747126437,0.8,,,,,,,,,,,,
Harvest_01_PotNr_463,47,102,1,0.31543624161073824,0.9791666666666666,0.01087711297147828,7,0,0,20,0,1,20,0,0,0,0,0,44,104,3,0.2972972972972973,0.9361702127659575,,,,,,,,,,,,
Harvest_01_PotNr_521,57,90,12,0.3877551020408163,0.8260869565217391,0.02382904180603853,10,0,0,23,0,7,24,0,5,0,0,0,51,95,17,0.3493150684931507,0.75,0.0045443267311614894,3.132935988278862e-05,0.0055972636066910966,6.9707059462525995,50.84055801587283,6786.821955526703,82.38217013120438,20.868697934844178,12.837981861079388,204.70218998195858,14.30741730648682,17.906345425300188
Harvest_02_PotNr_135,58,109,32,0.3473053892215569,0.6444444444444445,0.023685043681508793,9,0,2,25,0,15,24,0,14,0,0,1,40,126,49,0.24096385542168675,0.449438202247191,0.00573303824134784,4.247458674724238e-05,0.0065172530062321795,8.375020043020807,,,,,,,,
Harvest_02_PotNr_237,74,175,17,0.2971887550200803,0.8131868131868132,0.023384518269457824,10,0,1,31,0,10,32,0,5,1,0,1,60,188,30,0.24193548387096775,0.6666666666666666,0.005561017314571067,3.81379019667115e-05,0.00617558919996396,9.151148662222694,,,,,,,,
Harvest_03_PotNr_74,86,131,56,0.39631336405529954,0.6056338028169014,0.039887142578424316,8,0,1,28,0,22,43,0,24,7,0,9,63,153,78,0.2916666666666667,0.44680851063829785,0.02015205886623275,0.0010479522073954034,0.03237208994481826,25.89465382608999,,,,,,,,
Harvest_03_PotNr_407,56,95,21,0.3708609271523179,0.7272727272727273,0.02873459116144833,8,0,1,24,0,12,23,0,8,1,0,0,40,110,36,0.26666666666666666,0.5263157894736842,,,,,,,,,,,,
