metric,node_order,node_order_0,node_order_1,node_order_2,node_order_3
TP,906.0,111,372,406,17
FP,288.0,0,0,0,0
FN,249.0,13,113,98,25
Precision,0.7587939698492462,1.0,1.0,1.0,1.0
Recall,0.7844155844155845,0.8951612903225806,0.7670103092783506,0.8055555555555556,0.40476190476190477
CD,0.01914942501662098,,,,
