metric,node_order,node_order_0,node_order_1,node_order_2,node_order_3
TP,858.0,113,356,375,14
FP,226.0,0,0,0,0
FN,306.0,21,128,123,34
Precision,0.7915129151291513,1.0,1.0,1.0,1.0
Recall,0.7371134020618557,0.8432835820895522,0.7355371900826446,0.7530120481927711,0.2916666666666667
CD,0.017510629981128005,,,,
