file_name,TP,FP,FN,Precision,Recall,CD,TP_0,FP_0,FN_0,TP_1,FP_1,FN_1,TP_2,FP_2,FN_2,TP_3,FP_3,FN_3,TP_edges,FP_edges,FN_edges,Precision_edges,Recall_edges,gt_int_length_MAE,gt_int_length_MSE,gt_int_length_RMSE,gt_int_length_MAPE,gt_ph_angle_MAE,gt_ph_angle_MSE,gt_ph_angle_RMSE,gt_ph_angle_MAPE,gt_br_angle_MAE,gt_br_angle_MSE,gt_br_angle_RMSE,gt_br_angle_MAPE
Harvest_01_PotNr_80,61,9,22,0.8714285714285714,0.7349397590361446,0.01271889619966549,6,0,2,26,0,5,28,0,10,1,0,5,50,19,32,0,0,0.006211324086721426,6.981961152464852e-05,0.008355813037918484,11.72137129179081,13.881413075166776,278.0638467547766,16.675246527556244,6.322974736910539,5.022918333680863,28.901950017874366,5.376053386814008,7.783961829310442
Harvest_01_PotNr_95,51,16,25,0.7611940298507462,0.6710526315789473,0.01823403008464238,7,0,1,22,0,13,22,0,10,0,0,1,40,26,35,0,0,0.008020718144567876,0.00013686871890167108,0.011699090516004698,10.16364809139734,23.138859151612593,772.5715142262515,27.795170699714213,10.336967488872505,15.89061710476859,307.4980984245836,17.535623696480933,33.527860247781625
Harvest_01_PotNr_145,62,10,23,0.8611111111111112,0.7294117647058823,0.014868731347689968,8,0,2,25,0,7,27,0,11,2,0,3,54,17,30,0,0,0.007683151081493171,7.68288517459619e-05,0.008765206885519697,9.50246690036965,30.500737375850633,1642.2494933282123,40.524677584506605,14.42090162059468,7.462002270266399,78.11517976705987,8.838279231109405,14.245250182080047
Harvest_01_PotNr_179,62,9,14,0.8732394366197183,0.8157894736842105,0.014255506079214414,7,0,4,26,0,5,29,0,5,0,0,0,57,13,18,0,0,0.0038862955184041765,1.893353832238462e-05,0.0043512685877091775,5.353454377943028,9.803305464182316,235.55121362353043,15.347677792536903,7.0800822330751885,5.006158875742844,55.98305120019216,7.48218224852831,8.376606487313571
Harvest_01_PotNr_256,59,26,18,0.6941176470588235,0.7662337662337663,0.01753248266497766,10,0,2,27,0,8,22,0,8,0,0,0,51,33,25,0,0,0.003432323915764016,1.4974975323919465e-05,0.003869751325850211,6.178180298744905,9.81721496561638,135.26401747244972,11.630305992210598,4.742075621480986,11.2233043906847,158.6025940376681,12.593752182636758,16.788031469311772
Harvest_01_PotNr_293,61,5,17,0.9242424242424242,0.782051282051282,0.01671254403317991,5,0,4,29,0,7,27,0,6,0,0,0,55,10,22,0,0,0.0026794088301442913,1.3265806573569706e-05,0.003642225497353192,3.6154548986268336,22.473422119668186,586.5385655861954,24.21855828876268,10.027384756204277,10.968884975023185,121.90831356406873,11.041209787159591,16.16836071642338
Harvest_01_PotNr_373,63,3,40,0.9545454545454546,0.6116504854368932,0.01701612067725539,8,0,0,25,0,15,29,0,17,1,0,8,46,19,56,0,0,0.0031125490678222774,1.3126588154781555e-05,0.0036230633661007857,4.072502126593432,17.104168878813063,595.3706830458652,24.400218913892253,11.295727253083319,10.779177712933448,177.19118370264195,13.311317880008799,23.062737707894662
Harvest_01_PotNr_429,50,17,17,0.746268656716418,0.746268656716418,0.016446411854705627,7,0,2,20,0,8,22,0,7,1,0,0,40,26,26,0,0,0.003719234873080593,3.47464195762864e-05,0.005894609365877132,7.978115032845241,38.083554671252514,5514.566823424325,74.26012943312396,29.42834226144628,9.856906845217555,140.58970893760346,11.85705313042003,18.95423032499224
Harvest_01_PotNr_463,37,9,12,0.8043478260869565,0.7551020408163265,0.01774563948105196,7,0,1,15,0,6,15,0,5,0,0,0,27,18,21,0,0,0.00548583450960685,5.3760810543524294e-05,0.007332176385189073,12.076815011865072,7.724100974569732,91.28228545163256,9.554176335594427,5.111654967341063,8.72744567071168,94.085785161385,9.69978273784444,12.363178147882891
Harvest_01_PotNr_521,53,10,16,0.8412698412698413,0.7681159420289855,0.02451246581389603,10,0,0,20,0,10,23,0,6,0,0,0,45,17,23,0,0,0.003844938892616595,2.0467107766086367e-05,0.004524058771290042,19.226199972028414,8.469952818737129,111.28117060432284,10.548989079732847,5.350292348660578,4.37340727045295,26.943444803864313,5.1907075436653445,6.381222591646747
Harvest_02_PotNr_135,57,16,33,0.7808219178082192,0.6333333333333333,0.021742182751307824,10,0,1,23,0,14,21,0,14,3,0,4,43,29,46,0,0,0.009116599080039312,8.328388400175821e-05,0.00912600043840445,20.708848973635952,,,,,,,,
Harvest_02_PotNr_237,74,49,17,0.6016260162601627,0.8131868131868132,0.02160682394071603,10,0,1,30,0,11,33,0,4,1,0,1,60,62,30,0,0,0.009284888814680398,8.620916030097716e-05,0.009284888814680398,19.343518363917493,,,,,,,,
Harvest_03_PotNr_74,104,25,38,0.8062015503875969,0.7323943661971831,0.015757017572296975,9,0,0,39,0,12,51,0,15,5,0,11,86,42,55,0,0,0.004254129305559979,2.4877394752330652e-05,0.004987724406212782,4.937127354129152,,,,,,,,
Harvest_03_PotNr_407,64,22,14,0.7441860465116279,0.8205128205128205,0.015999967235192408,9,0,1,29,0,7,26,0,5,0,0,1,58,27,19,0,0,0.0029414536163144475,1.2664108309593874e-05,0.0035586666477198836,4.3060164981741975,,,,,4.174821445237067,27.422250230625554,5.2366258440550775,4.700167169964314
