trait,mean,mean_std,MAE,MAE_std,MSE,MSE_std,RMSE,RMSE_std,MAPE,MAPE_std,N,N_notmatched
gt_int_length,-0.0037191580508665867,0.006903908956763811,0.00713797503401067,0.003247369382199952,6.149609549060933e-05,4.9705607959824776e-05,0.007841944624301381,,11.845161635175485,3.731730504206446,6,8
gt_ph_angle,-2.5676044632341757,11.056803901303173,10.029585806697119,5.315347000675762,128.8455051914931,118.28753926015762,11.351013399317837,,5.958733340029542,3.433853434325638,6,8
gt_lf_angle,10.32342403516917,8.22947628891395,11.98800118447718,5.5303879972999335,174.29736379970547,127.9467546949837,13.202172692390652,,18.778805668529362,7.96744068925678,5,9
