metric,node_order,node_order_0,node_order_1,node_order_2,node_order_3
TP,336.0,34,78,93,3
FP,337.0,68,135,182,80
FN,59.0,20,81,78,8
Precision,0.49925705794947994,0.3333333333333333,0.36619718309859156,0.3381818181818182,0.03614457831325301
Recall,0.850632911392405,0.6296296296296297,0.49056603773584906,0.543859649122807,0.2727272727272727
CD,0.022011349903421053,,,,
