trait,mean,mean_std,MAE,MAE_std,MSE,MSE_std,RMSE,RMSE_std,MAPE,MAPE_std,N,N_notmatched
gt_int_length,-0.004226396615110395,0.012141121785588174,0.006376941174228865,0.011162611156047896,0.00016526926656070036,0.0007922176768880259,0.012855709492700134,,10.319150990564994,15.692936096512893,60,35
gt_ph_angle,1.450004258220326,56.150158161375536,32.63696935380733,45.71401322674466,3154.942773896345,7373.26197766669,56.168877271104016,,17.842855683759034,27.934294068090452,33,31
gt_br_angle,6.393444723034664,12.95776151591199,9.602428834801621,10.796901379670004,208.7797189297496,582.0703883248289,14.449211706171019,,18.812472919121742,26.63525211632863,36,33
