x,y,z,parentid,vid,edgetype
0.18858462597743259,0.19102618674312538,0.11842500976548895,0.0,1.0,<
0.18943207595609843,0.19108155731613335,0.12085627779814301,1.0,2.0,<
0.18959711757981482,0.1911834892241832,0.12196683458993068,2.0,3.0,<
0.18978796764256534,0.19143475213457808,0.12418942949120976,3.0,4.0,<
0.18990527480930874,0.19157738726061166,0.12547961555344944,4.0,5.0,<
0.19001029369078837,0.1916944353154178,0.12656930549084003,5.0,6.0,<
0.19013003624306943,0.19181981089972713,0.1277667074798018,6.0,7.0,<
0.1902232269022724,0.1919140365809415,0.12868755348784458,7.0,8.0,<
0.1903824044942658,0.19207359566520935,0.13028062860187845,8.0,9.0,<
0.19059831715572856,0.1922784281296786,0.1323857199066098,9.0,10.0,<
0.19076095036940624,0.19245197126129013,0.13424960178891762,10.0,11.0,<
0.1909106454645323,0.19258673585903546,0.13618338489737256,11.0,12.0,<
0.19110526174999848,0.19268286853001676,0.13826565280625702,12.0,13.0,<
0.19130410872328743,0.19275774365441692,0.14020114816958898,13.0,14.0,<
0.19154095470788496,0.19283636637593524,0.14240557941039989,14.0,15.0,<
0.1917467938871967,0.1928989471028837,0.1443129013588283,15.0,16.0,<
0.1925797984091338,0.19308528180096662,0.1458971897421238,16.0,17.0,+
0.19185258716669804,0.192934369879822,0.14617798901899207,16.0,18.0,<
0.19476388792017907,0.19354564662799492,0.1460322701074418,17.0,162.0,+
0.19674475036593692,0.19396701290119403,0.14616936110966405,18.0,19.0,<
0.19901845806642515,0.19445740979892584,0.14631278851340154,19.0,20.0,<
0.20117255409524695,0.19493360323047418,0.14642753015586665,20.0,21.0,<
0.20291085436156356,0.195354443316624,0.14650140602913864,21.0,22.0,<
0.20433210042655134,0.1957301930520936,0.1465574197345937,22.0,23.0,<
0.20539001911855204,0.19601178187696466,0.14659818356004187,23.0,24.0,<
0.2068408171869965,0.19640854016089293,0.14664396528452125,24.0,25.0,<
0.2090546692557709,0.19703914099267864,0.14669106594308415,25.0,26.0,<
0.21087627006357068,0.19758821429308784,0.14669459731182732,26.0,27.0,<
0.21182050187176715,0.19788904418351383,0.1466711789381315,27.0,28.0,<
0.21295775706559775,0.19826803969966855,0.14660606105461113,28.0,29.0,<
0.2149379943523559,0.19894774118276204,0.14640770797693833,29.0,30.0,<
0.21686556822695657,0.19960211038040152,0.14609799012921781,30.0,31.0,<
0.21784781905753978,0.19991823283468413,0.14591036288220993,31.0,32.0,<
0.2188179949334874,0.20020083584685203,0.14571559516609692,32.0,33.0,<
0.22037923164935064,0.20062395244594372,0.14540652133101578,33.0,34.0,<
0.22135013861913175,0.20086938363011766,0.14522050198704545,34.0,35.0,<
0.2226942834452553,0.20119848859524098,0.14496619902223043,35.0,36.0,<
0.22477942846864268,0.20169589302914923,0.14456682206413524,36.0,37.0,<
0.22579792321275488,0.2019343728357591,0.14436593837976958,37.0,38.0,<
0.22685987610018157,0.202180765283161,0.14414934675532648,38.0,39.0,<
0.22886763623729833,0.20264739750741573,0.1437279095352769,39.0,40.0,<
0.23054210141040335,0.20304045906323817,0.14336725761322267,40.0,41.0,<
0.2315331770613002,0.20327427707253798,0.1431505744770113,41.0,42.0,<
0.23297950851950827,0.2036144786909957,0.14282866190060586,42.0,43.0,<
0.2339266739151068,0.20383660378460833,0.14261495784943723,43.0,44.0,<
0.23499710174572203,0.20408703237632406,0.14236920809102283,44.0,45.0,<
0.23701756550992958,0.20455970623818306,0.14189641388774932,45.0,46.0,<
0.2388302087091927,0.20498692645073427,0.14146150422514223,46.0,47.0,<
0.23969949279105993,0.20519259106790574,0.14124921773143784,47.0,48.0,<
0.2408871500535033,0.20547258420489953,0.14095222590237852,48.0,49.0,<
0.242312266974068,0.20580690311838937,0.14058834113686328,49.0,50.0,<
0.24328396243035874,0.20603421708737119,0.1403350956635783,50.0,51.0,<
0.24485996743418645,0.20640448347211654,0.13991875072313978,51.0,52.0,<
0.24665041572485774,0.20683014712810474,0.13944090434581516,52.0,53.0,<
0.2476052784716098,0.20706157828088387,0.13918465715753975,53.0,54.0,<
0.24879214911833675,0.2073568003699789,0.1388649244149305,54.0,55.0,<
0.25027296764841095,0.20773227977931605,0.13846434682918463,55.0,56.0,<
0.25133151851681246,0.20800824540046292,0.13817585896280457,56.0,57.0,<
0.2529059955770842,0.20842966375052593,0.13774366470148544,57.0,58.0,<
0.25434103870956093,0.20882132705927609,0.1373476430277551,58.0,59.0,<
0.25537650499621195,0.2091091145195198,0.137060787490354,59.0,60.0,<
0.2568117703802569,0.20951516726248096,0.13666226939832937,60.0,61.0,<
0.25799465214432044,0.20985440636456928,0.13633303731796062,61.0,62.0,<
0.25892262859077103,0.21012383460442577,0.13607389156131203,62.0,63.0,<
0.26088835900371027,0.21070108311009542,0.1355232828622525,63.0,64.0,<
0.2618148337319792,0.2109764475523802,0.13526339702903867,64.0,65.0,<
0.26277105358789776,0.2112637096016425,0.13499565572147476,65.0,66.0,<
0.2641824243045481,0.21169167293797425,0.13460198384143038,66.0,67.0,<
0.2652758099990218,0.21202670895938852,0.1342993088529027,67.0,68.0,<
0.26687101995620877,0.21252129388008772,0.1338649128691356,68.0,69.0,<
0.26853521456511636,0.21304204678219688,0.1334218778199527,69.0,70.0,<
0.2696614890986337,0.2133959793782641,0.13313015982875354,70.0,71.0,<
0.27052337811631444,0.21366631916766654,0.13291276012457465,71.0,72.0,<
0.27154641447637246,0.21398403056663326,0.1326595858603817,72.0,73.0,<
0.27287436041163066,0.21438683161150743,0.13233585135693926,73.0,74.0,<
0.2747835504972967,0.21494649031917645,0.13187602033722498,74.0,75.0,<
0.27654718459297445,0.2154482073802586,0.13145559704791138,75.0,76.0,<
0.2774498864335807,0.21570087963114584,0.13124308928176556,76.0,77.0,<
0.2780598487674334,0.21586557984732854,0.131102258305924,77.0,78.0,<
0.27899886587221484,0.21609889996928788,0.1308920099883364,78.0,79.0,<
0.28093645948153984,0.21650486253600773,0.13047960118019164,79.0,80.0,<
0.2827472783375792,0.21680497445764146,0.13011325428825088,80.0,81.0,<
0.2849961625600097,0.2171286456031002,0.12966600561901176,81.0,82.0,<
0.2862854610885897,0.2173026347969498,0.12940983747345455,82.0,83.0,<
0.2875881558381806,0.21747329460065723,0.12914978373682942,83.0,84.0,<
0.289154375146989,0.21767610148034836,0.12883393885772348,84.0,85.0,<
0.2902812994674721,0.21782244718943106,0.12860419403144172,85.0,86.0,<
0.2914656399532397,0.2179787795040124,0.1283590864091289,86.0,87.0,<
0.29296411093853925,0.21817068938225523,0.12803986420325664,87.0,88.0,<
0.2948501114022947,0.21865799109088757,0.12759337630564282,88.0,89.0,<
0.2955507309916885,0.21896639142018184,0.1271231856058095,89.0,90.0,<
0.29485815511557,0.21683702834172555,0.127811045851839,89.0,91.0,+
0.29526065928034045,0.21496296666225265,0.127800323726543,90.0,112.0,<
0.29572389690391726,0.213119262349892,0.12768631481119744,90.0,113.0,+
0.29603492564373973,0.21200780773075165,0.1275692729002255,91.0,92.0,<
0.2961889115236044,0.21154017953104498,0.1274859319779658,92.0,93.0,<
0.2966789413671027,0.21016817849268335,0.1271853282363653,93.0,94.0,<
0.29726105564745525,0.20863597562031522,0.1267996534687992,94.0,95.0,<
0.29775851934703434,0.2075384642419067,0.12640876628689707,95.0,96.0,<
0.2982903697473518,0.20645086323801926,0.1259671142866162,96.0,97.0,<
0.2988363312399444,0.20545804448673416,0.1254822670453192,97.0,98.0,<
0.2994531813664081,0.20441899331646235,0.12491476393345015,98.0,99.0,<
0.2998398649465723,0.2037826356078408,0.12455751234653496,99.0,100.0,<
0.3003909020171727,0.20285424561775323,0.12405387684614272,100.0,101.0,<
0.30109878004443824,0.20165615168632453,0.12340606337896022,101.0,102.0,<
0.3016981556983855,0.20065422244910866,0.12285233026823407,102.0,103.0,<
0.30203523600452314,0.20009852046980062,0.12253796647541043,103.0,104.0,<
0.3028305858144921,0.19881180157577943,0.12178589952535258,104.0,105.0,<
0.3033802562238254,0.1979314818367259,0.12126124054052688,105.0,106.0,<
0.3038515947867703,0.19717639684209678,0.12080488379275799,106.0,107.0,<
0.3039428888346225,0.1970126374500836,0.12071020006416608,107.0,108.0,<
0.30600000006611267,0.20060000043748408,0.1033500005019924,108.0,109.0,<
0.29680062580370176,0.2192689854463741,0.12607493761555377,109.0,110.0,<
0.2956592642446088,0.2204450854627618,0.12770771787585924,110.0,111.0,+
0.29598846299781356,0.2213788610585245,0.12781747727808435,112.0,148.0,<
0.2964935302961804,0.22279228069573628,0.12793896963007614,113.0,114.0,<
0.2972577001339266,0.22496447055112567,0.1280674886698426,114.0,115.0,<
0.29772530648907325,0.2263029686763416,0.1280918281534229,115.0,116.0,<
0.29817620969221953,0.22758934976840345,0.12806660622702706,116.0,117.0,<
0.2986858788428241,0.22900226934755563,0.12789602258983626,117.0,118.0,<
0.2994141064748461,0.23088279546762625,0.12736981435865966,118.0,119.0,<
0.29966540301546707,0.23147801180439426,0.12710777961683276,119.0,120.0,<
0.2998616771174215,0.2319320525709814,0.12688758851086987,120.0,121.0,<
0.3003547918393104,0.23297525245053874,0.12619522123515206,121.0,122.0,<
0.3008898923774989,0.23412739271935085,0.1253728415757042,122.0,123.0,<
0.3013582646674618,0.2351680057150073,0.12457643395277633,123.0,124.0,<
0.30178747916171295,0.23619455580766605,0.12374824566542005,124.0,125.0,<
0.3019341751174301,0.2365672033160122,0.12343972924886774,125.0,126.0,<
0.30228216977154265,0.2375480302416951,0.12261993463488349,126.0,127.0,<
0.3024959339439099,0.23834882130919452,0.12194856118563019,127.0,128.0,<
0.3027852411004923,0.23956319949740398,0.12092534856102945,128.0,129.0,<
0.30311535586494187,0.24108645674775303,0.11962143525110466,129.0,130.0,<
0.3032100848910911,0.24160882182719637,0.1191641611227527,130.0,131.0,<
0.3033244213554506,0.24275242957817508,0.11811995827393597,131.0,132.0,<
0.30346316013533947,0.2449289806707577,0.11608655246349076,132.0,133.0,<
0.30349280606231943,0.2457991469551847,0.11525527988754804,133.0,134.0,<
0.30348815736522655,0.24708788000702653,0.1139565604512816,134.0,135.0,<
0.30347415555756607,0.24780481644120772,0.11320256113132,135.0,136.0,<
0.30346067430467544,0.24848490832877237,0.11243681928100682,136.0,137.0,<
0.3034461810642879,0.24965241600684823,0.11107694353728632,137.0,138.0,<
0.30343466782781986,0.25061504058127776,0.1099027811748439,138.0,139.0,<
0.30342190100277444,0.25153216489733454,0.10875036881679237,139.0,140.0,<
0.3034095526874021,0.2523363069697874,0.10770613330431043,140.0,141.0,<
0.3033941676576364,0.25333957924766454,0.1063477992046154,141.0,142.0,<
0.3033835091018076,0.2540244450066725,0.10539279666859028,142.0,143.0,<
0.30337662739359944,0.25449966499423515,0.10467501788280505,143.0,144.0,<
0.30336189904234884,0.25569032960324806,0.10276821838795001,144.0,145.0,<
