metric,node_order,node_order_0,node_order_1,node_order_2,node_order_3
TP,1017.0,124,444,430,19
FP,341.0,0,0,0,0
FN,147.0,10,40,68,29
Precision,0.7488954344624448,1.0,1.0,1.0,1.0
Recall,0.8737113402061856,0.9253731343283582,0.9173553719008265,0.8634538152610441,0.3958333333333333
CD,0.013228359391401509,,,,
