file_name,TP,FP,FN,Precision,Recall,CD,TP_0,FP_0,FN_0,TP_1,FP_1,FN_1,TP_2,FP_2,FN_2,TP_3,FP_3,FN_3,TP_edges,FP_edges,FN_edges,Precision_edges,Recall_edges,gt_int_length_MAE,gt_int_length_MSE,gt_int_length_RMSE,gt_int_length_MAPE,gt_ph_angle_MAE,gt_ph_angle_MSE,gt_ph_angle_RMSE,gt_ph_angle_MAPE,gt_br_angle_MAE,gt_br_angle_MSE,gt_br_angle_RMSE,gt_br_angle_MAPE
Harvest_01_PotNr_80,38,3,45,0.926829268292683,0.4578313253012048,0.024841537621413744,5,0,3,18,0,13,14,0,24,1,0,5,22,18,60,0,0,0.01475820884381512,0.0004303022727431129,0.020743728515942184,31.396434744573718,3.2847451296922543,15.973305681875013,3.9966618173014106,1.4381101254830766,9.652364478206863,128.9784516243141,11.35686803763758,13.896648755482909
Harvest_01_PotNr_95,43,2,33,0.9555555555555556,0.5657894736842105,0.025644964453636586,7,0,1,18,0,17,18,0,14,0,0,1,28,16,47,0,0,0.006889128530798477,7.378258722825293e-05,0.008589679110901229,11.638144156648206,7.840532470603894,107.97761310449562,10.391227699578891,3.5877116719518036,14.965387342326546,272.74008178298897,16.514844285762702,25.68803008065994
Harvest_01_PotNr_145,45,4,40,0.9183673469387755,0.5294117647058824,0.025785870365685408,6,0,4,18,0,14,21,0,17,0,0,5,29,19,55,0,0,,,,,,,,,,,,
Harvest_01_PotNr_179,40,4,36,0.9090909090909091,0.5263157894736842,0.029300819720635644,6,0,5,18,0,13,16,0,18,0,0,0,30,13,45,0,0,0.007151880962495034,8.353289827333271e-05,0.009139633377402657,13.278960186150195,36.31347621787055,2521.1534779917065,50.21108919344119,28.587450093369515,6.771089842194193,45.89796727142193,6.774803854830185,10.52478148659753
Harvest_01_PotNr_256,42,8,35,0.84,0.5454545454545454,0.039719990709042544,9,0,3,20,0,15,13,0,17,0,0,0,33,17,43,0,0,,,,,,,,,,,,
Harvest_01_PotNr_293,39,7,39,0.8478260869565217,0.5,0.02629419165063815,4,0,5,18,0,18,17,0,16,0,0,0,21,24,56,0,0,0.2823027056151612,0.07969481759764036,0.2823027056151612,403.28957945023024,102.91109040601015,10590.692528553993,102.91109040601015,44.743952350439194,9.012472408897537,81.22465892113938,9.012472408897537,12.87496058413934
Harvest_01_PotNr_373,42,2,61,0.9545454545454546,0.4077669902912621,0.026111696459586477,5,0,3,18,0,22,19,0,27,0,0,9,20,23,82,0,0,0.007128442909250528,5.198610677078208e-05,0.007210139164453213,11.11575745751804,2.315745594132011,6.599330451481233,2.5689162017242277,1.6945377159157278,2.3763147664022704,8.441669898183354,2.9054551963820323,4.7759162241389115
Harvest_01_PotNr_429,38,4,29,0.9047619047619048,0.5671641791044776,0.030076779983829544,6,0,3,16,0,12,16,0,13,0,0,1,27,14,39,0,0,,,,,,,,,,,,
Harvest_01_PotNr_463,36,17,13,0.6792452830188679,0.7346938775510204,0.02494264771754974,7,0,1,15,0,6,14,0,6,0,0,0,29,24,19,0,0,,,,,,,,,,,,
Harvest_01_PotNr_521,45,3,24,0.9375,0.6521739130434783,0.02563464734790537,9,0,1,18,0,12,18,0,11,0,0,0,35,12,33,0,0,0.01436182532605796,0.00024456145241039833,0.015638460679056564,23.998461806027503,11.535808152912542,148.12859579160536,12.170809167496028,5.060189497407565,10.132340157224156,127.17536734635488,11.277205653279312,14.665092359959424
Harvest_02_PotNr_135,50,7,40,0.8771929824561403,0.5555555555555556,0.028184932296717053,8,0,3,22,0,15,18,0,17,2,0,5,33,23,56,0,0,0.007504641657681464,7.383889929392848e-05,0.008592956376819824,16.146413480255017,,,,,,,,
Harvest_02_PotNr_237,46,18,45,0.71875,0.5054945054945055,0.03451736543263884,6,0,5,23,0,18,17,0,20,0,0,2,29,36,61,0,0,,,,,,,,,,,,
Harvest_03_PotNr_74,53,6,89,0.8983050847457628,0.3732394366197183,0.028439358436398346,8,0,1,22,0,29,23,0,43,0,0,16,30,29,111,0,0,,,,,,,,,,,,
Harvest_03_PotNr_407,49,4,29,0.9245283018867925,0.6282051282051282,0.02866825691387238,9,0,1,20,0,16,20,0,11,0,0,1,35,17,42,0,0,0.013275530388447665,0.000292408174944221,0.017099946635712668,20.23054698087466,,,,,12.434714859783476,182.40684669853096,13.505807887665624,13.254901568905382
