metric,node_order,node_order_0,node_order_1,node_order_2,node_order_3
TP,606.0,95,264,244,3
FP,89.0,0,0,0,0
FN,558.0,39,220,254,45
Precision,0.8719424460431655,1.0,1.0,1.0,1.0
Recall,0.520618556701031,0.7089552238805971,0.5454545454545454,0.4899598393574297,0.0625
CD,0.028440218507824987,,,,
